"","1"
"observed",9
"observed.1",7
"observed.2",11
"observed.3",9
"observed.4",10
"observed.5",10
"observed.6",8
"observed.7",10
"observed.8",7
"observed.9",11
"observed.10",9
"observed.11",11
"observed.12",8
"observed.13",6
"observed.14",13
"observed.15",9
"observed.16",9
"observed.17",10
"observed.18",12
"observed.19",10
"observed.20",9
"observed.21",7
"observed.22",9
"observed.23",11
"observed.24",13
"observed.25",12
"observed.26",10
"observed.27",11
"observed.28",9
"observed.29",10
"observed.30",9
"observed.31",13
"observed.32",10
"observed.33",7
"observed.34",13
"observed.35",13
"observed.36",10
"observed.37",10
"observed.38",13
"observed.39",9
"observed.40",13
"observed.41",10
"observed.42",10
"observed.43",12
"observed.44",10
"observed.45",9
"observed.46",6
"observed.47",10
"observed.48",11
"observed.49",10
"observed.50",11
"observed.51",7
"observed.52",8
"observed.53",10
"observed.54",10
"observed.55",10
"observed.56",10
"observed.57",11
"observed.58",9
"observed.59",11
"observed.60",9
"observed.61",7
"observed.62",12
"observed.63",9
"observed.64",12
"observed.65",10
"observed.66",7
"observed.67",8
"observed.68",7
"observed.69",11
"observed.70",11
"observed.71",13
"observed.72",6
"observed.73",10
"observed.74",9
"observed.75",13
"observed.76",8
"observed.77",4
"observed.78",12
"observed.79",11
"observed.80",11
"observed.81",10
"observed.82",9
"observed.83",11
"observed.84",7
"observed.85",8
"observed.86",12
"observed.87",10
"observed.88",10
"observed.89",9
"observed.90",10
"observed.91",11
"observed.92",13
"observed.93",12
"observed.94",11
"observed.95",10
"observed.96",10
"observed.97",11
"observed.98",8
"observed.99",11
"observed.100",10
"observed.101",8
"observed.102",10
"observed.103",10
"observed.104",9
"observed.105",11
"observed.106",12
"observed.107",6
"observed.108",10
"observed.109",10
"observed.110",10
"observed.111",11
"observed.112",9
"observed.113",6
"observed.114",12
"observed.115",9
"observed.116",11
"observed.117",11
"observed.118",10
"observed.119",10
"observed.120",9
"observed.121",12
"observed.122",7
"observed.123",7
"observed.124",11
"observed.125",8
"observed.126",11
"observed.127",14
"observed.128",9
"observed.129",12
"observed.130",10
"observed.131",8
"observed.132",9
"observed.133",7
"observed.134",10
"observed.135",8
"observed.136",8
"observed.137",14
"observed.138",10
"observed.139",9
"observed.140",8
"observed.141",9
"observed.142",6
"observed.143",7
"observed.144",13
"observed.145",9
"observed.146",10
"observed.147",13
"observed.148",7
"observed.149",7
"observed.150",9
"observed.151",12
"observed.152",12
"observed.153",7
"observed.154",12
"observed.155",14
"observed.156",12
"observed.157",12
"observed.158",9
"observed.159",12
"observed.160",11
"observed.161",10
"observed.162",9
"observed.163",5
"observed.164",7
"observed.165",8
"observed.166",8
"observed.167",9
"observed.168",11
"observed.169",9
"observed.170",11
"observed.171",11
"observed.172",8
"observed.173",11
"observed.174",10
"observed.175",8
"observed.176",11
"observed.177",6
"observed.178",12
"observed.179",11
"observed.180",10
"observed.181",11
"observed.182",12
"observed.183",11
"observed.184",10
"observed.185",8
"observed.186",7
"observed.187",9
"observed.188",10
"observed.189",9
"observed.190",7
"observed.191",8
"observed.192",9
"observed.193",8
"observed.194",10
"observed.195",7
"observed.196",6
"observed.197",10
"observed.198",11
"observed.199",11
"observed.200",11
"observed.201",9
"observed.202",8
"observed.203",10
"observed.204",7
"observed.205",8
"observed.206",6
"observed.207",7
"observed.208",7
"observed.209",7
"observed.210",8
"observed.211",13
"observed.212",11
"observed.213",10
"observed.214",8
"observed.215",11
"observed.216",8
"observed.217",10
"observed.218",10
"observed.219",11
"observed.220",13
"observed.221",9
"observed.222",9
"observed.223",11
"observed.224",11
"observed.225",10
"observed.226",11
"observed.227",9
"observed.228",10
"observed.229",6
"observed.230",6
"observed.231",8
"observed.232",9
"observed.233",10
"observed.234",8
"observed.235",9
"observed.236",9
"observed.237",10
"observed.238",9
"observed.239",6
"observed.240",11
"observed.241",8
"observed.242",11
"observed.243",8
"observed.244",11
"observed.245",10
"observed.246",13
"observed.247",8
"observed.248",10
"observed.249",11
"observed.250",8
"observed.251",10
"observed.252",7
"observed.253",10
"observed.254",10
"observed.255",10
"observed.256",11
"observed.257",8
"observed.258",8
"observed.259",9
"observed.260",13
"observed.261",9
"observed.262",8
"observed.263",9
"observed.264",11
"observed.265",8
"observed.266",12
"observed.267",8
"observed.268",7
"observed.269",9
"observed.270",10
"observed.271",8
"observed.272",9
"observed.273",9
"observed.274",10
"observed.275",11
"observed.276",14
"observed.277",8
"observed.278",11
"observed.279",7
"observed.280",11
"observed.281",11
"observed.282",11
"observed.283",9
"observed.284",7
"observed.285",11
"observed.286",9
"observed.287",9
"observed.288",9
"observed.289",10
"observed.290",11
"observed.291",10
"observed.292",10
"observed.293",14
"observed.294",11
"observed.295",10
"observed.296",8
