"","1"
"observed",3
"observed.1",3
"observed.2",3
"observed.3",3
"observed.4",3
"observed.5",3
"observed.6",3
"observed.7",3
"observed.8",6
"observed.9",3
"observed.10",3
"observed.11",3
"observed.12",4
"observed.13",3
"observed.14",4
"observed.15",4
"observed.16",3
"observed.17",4
"observed.18",3
"observed.19",3
"observed.20",4
"observed.21",3
"observed.22",3
"observed.23",4
"observed.24",4
"observed.25",4
"observed.26",3
"observed.27",3
"observed.28",3
"observed.29",3
"observed.30",4
"observed.31",3
"observed.32",3
"observed.33",3
"observed.34",3
"observed.35",4
"observed.36",4
"observed.37",3
"observed.38",3
"observed.39",4
"observed.40",3
"observed.41",3
"observed.42",4
"observed.43",4
"observed.44",3
"observed.45",4
"observed.46",3
"observed.47",3
"observed.48",3
"observed.49",3
"observed.50",3
"observed.51",4
"observed.52",4
"observed.53",3
"observed.54",4
"observed.55",3
"observed.56",4
"observed.57",4
"observed.58",4
"observed.59",3
"observed.60",3
"observed.61",5
"observed.62",3
"observed.63",3
"observed.64",3
"observed.65",3
"observed.66",3
"observed.67",3
"observed.68",3
"observed.69",3
"observed.70",3
"observed.71",3
"observed.72",3
"observed.73",4
"observed.74",4
"observed.75",4
"observed.76",3
"observed.77",4
"observed.78",4
"observed.79",3
"observed.80",3
"observed.81",3
"observed.82",3
"observed.83",3
"observed.84",3
"observed.85",3
"observed.86",5
"observed.87",3
"observed.88",3
"observed.89",3
"observed.90",3
"observed.91",4
"observed.92",3
"observed.93",4
"observed.94",4
"observed.95",5
"observed.96",5
"observed.97",3
"observed.98",4
"observed.99",3
"observed.100",3
"observed.101",4
"observed.102",3
"observed.103",3
"observed.104",3
"observed.105",3
"observed.106",3
"observed.107",3
"observed.108",4
"observed.109",4
"observed.110",4
"observed.111",3
"observed.112",3
"observed.113",4
"observed.114",3
"observed.115",3
"observed.116",3
"observed.117",3
"observed.118",4
"observed.119",6
"observed.120",3
"observed.121",3
"observed.122",4
"observed.123",4
"observed.124",3
"observed.125",4
"observed.126",3
"observed.127",4
"observed.128",4
"observed.129",3
"observed.130",5
"observed.131",3
"observed.132",3
"observed.133",3
"observed.134",3
"observed.135",3
"observed.136",3
"observed.137",3
"observed.138",3
"observed.139",5
"observed.140",3
"observed.141",3
"observed.142",5
"observed.143",3
"observed.144",3
"observed.145",4
"observed.146",4
"observed.147",3
"observed.148",4
"observed.149",4
"observed.150",3
"observed.151",3
"observed.152",5
"observed.153",3
"observed.154",3
"observed.155",4
"observed.156",4
"observed.157",3
"observed.158",3
"observed.159",3
"observed.160",4
"observed.161",4
"observed.162",3
"observed.163",3
"observed.164",4
"observed.165",3
"observed.166",4
"observed.167",3
"observed.168",4
"observed.169",3
"observed.170",4
"observed.171",3
"observed.172",4
"observed.173",4
"observed.174",4
"observed.175",4
"observed.176",3
"observed.177",4
"observed.178",4
"observed.179",3
"observed.180",3
"observed.181",4
"observed.182",4
"observed.183",3
"observed.184",3
"observed.185",3
"observed.186",5
"observed.187",4
"observed.188",3
"observed.189",3
"observed.190",4
"observed.191",3
"observed.192",4
"observed.193",4
"observed.194",4
"observed.195",4
"observed.196",4
"observed.197",4
"observed.198",4
"observed.199",4
"observed.200",3
"observed.201",4
"observed.202",3
"observed.203",3
"observed.204",3
"observed.205",3
"observed.206",5
"observed.207",3
"observed.208",4
"observed.209",4
"observed.210",3
"observed.211",3
"observed.212",3
"observed.213",4
"observed.214",4
"observed.215",3
"observed.216",4
"observed.217",4
"observed.218",3
"observed.219",4
"observed.220",4
"observed.221",3
"observed.222",3
"observed.223",3
"observed.224",3
"observed.225",4
"observed.226",3
"observed.227",4
"observed.228",3
"observed.229",3
"observed.230",4
"observed.231",3
"observed.232",4
"observed.233",3
"observed.234",3
"observed.235",3
"observed.236",3
"observed.237",3
"observed.238",4
"observed.239",3
"observed.240",4
"observed.241",3
"observed.242",4
"observed.243",4
"observed.244",3
"observed.245",3
"observed.246",4
"observed.247",4
"observed.248",4
"observed.249",4
"observed.250",4
"observed.251",4
"observed.252",3
"observed.253",3
"observed.254",3
"observed.255",4
"observed.256",3
"observed.257",4
"observed.258",3
"observed.259",4
"observed.260",3
"observed.261",3
"observed.262",3
"observed.263",3
"observed.264",4
"observed.265",4
"observed.266",3
"observed.267",3
"observed.268",3
"observed.269",4
"observed.270",3
"observed.271",3
"observed.272",4
"observed.273",3
"observed.274",3
