"","1"
"observed",15
"observed.1",13
"observed.2",14
"observed.3",18
"observed.4",11
"observed.5",14
"observed.6",10
"observed.7",12
"observed.8",11
"observed.9",11
"observed.10",14
"observed.11",12
"observed.12",12
"observed.13",14
"observed.14",12
"observed.15",12
"observed.16",17
"observed.17",15
"observed.18",10
"observed.19",18
"observed.20",12
"observed.21",13
"observed.22",15
"observed.23",16
"observed.24",13
"observed.25",16
"observed.26",17
"observed.27",16
"observed.28",13
"observed.29",10
"observed.30",14
"observed.31",13
"observed.32",18
"observed.33",17
"observed.34",12
"observed.35",10
"observed.36",16
"observed.37",12
"observed.38",11
"observed.39",15
"observed.40",14
"observed.41",16
"observed.42",13
"observed.43",16
"observed.44",12
"observed.45",17
"observed.46",14
"observed.47",13
"observed.48",11
"observed.49",17
"observed.50",14
"observed.51",13
"observed.52",16
"observed.53",16
"observed.54",12
"observed.55",18
"observed.56",11
"observed.57",13
"observed.58",12
"observed.59",16
"observed.60",16
"observed.61",18
"observed.62",11
"observed.63",12
"observed.64",16
"observed.65",15
"observed.66",17
"observed.67",12
"observed.68",15
"observed.69",11
"observed.70",12
"observed.71",16
"observed.72",12
"observed.73",14
"observed.74",11
"observed.75",9
"observed.76",14
"observed.77",13
"observed.78",10
"observed.79",11
"observed.80",14
"observed.81",15
"observed.82",17
"observed.83",11
"observed.84",11
"observed.85",15
"observed.86",10
"observed.87",16
"observed.88",16
"observed.89",15
"observed.90",9
"observed.91",16
"observed.92",13
"observed.93",16
"observed.94",18
"observed.95",10
"observed.96",15
"observed.97",15
"observed.98",15
"observed.99",14
"observed.100",12
"observed.101",11
"observed.102",14
"observed.103",14
"observed.104",11
"observed.105",16
"observed.106",12
"observed.107",10
"observed.108",13
"observed.109",17
"observed.110",11
"observed.111",13
"observed.112",14
"observed.113",12
"observed.114",8
"observed.115",14
"observed.116",16
"observed.117",17
"observed.118",13
"observed.119",15
"observed.120",16
"observed.121",15
"observed.122",15
"observed.123",11
"observed.124",12
"observed.125",12
"observed.126",15
"observed.127",14
"observed.128",12
"observed.129",18
"observed.130",14
"observed.131",13
"observed.132",15
"observed.133",18
"observed.134",13
"observed.135",14
"observed.136",11
"observed.137",15
"observed.138",15
"observed.139",19
"observed.140",15
"observed.141",11
"observed.142",15
"observed.143",15
"observed.144",10
"observed.145",18
"observed.146",19
"observed.147",18
"observed.148",12
"observed.149",14
"observed.150",16
"observed.151",14
"observed.152",11
"observed.153",15
"observed.154",14
"observed.155",11
"observed.156",15
"observed.157",14
"observed.158",12
"observed.159",16
"observed.160",13
"observed.161",14
"observed.162",10
"observed.163",15
"observed.164",14
"observed.165",18
"observed.166",13
"observed.167",15
"observed.168",10
"observed.169",12
"observed.170",12
"observed.171",10
"observed.172",15
"observed.173",10
"observed.174",16
"observed.175",12
"observed.176",12
"observed.177",15
"observed.178",12
"observed.179",11
"observed.180",17
"observed.181",18
"observed.182",13
"observed.183",16
"observed.184",17
"observed.185",14
"observed.186",14
"observed.187",14
"observed.188",14
"observed.189",16
"observed.190",16
"observed.191",18
"observed.192",11
"observed.193",15
"observed.194",15
"observed.195",11
"observed.196",15
"observed.197",15
"observed.198",15
"observed.199",17
"observed.200",12
"observed.201",13
"observed.202",11
