"","4456889","4461938"
"1",278,8556
"2",1951,6883
"3",8834,0
"4",8834,0
"5",3453,5381
"6",0,8834
"7",2932,5902
"8",2227,6607
"9",8834,0
"10",7859,975
"11",6962,1872
"12",1970,6864
"13",4413,4421
"14",6035,2799
"15",4732,4102
"16",2773,6061
"1",7137,1697
"2",5459,3375
"3",3047,5787
"4",4075,4759
"5",4229,4605
"6",4726,4108
"7",6569,2265
"8",2227,6607
"9",1436,7398
"10",1992,6842
"11",4832,4002
"12",1035,7799
"13",6344,2490
"14",6081,2753
"15",3445,5389
"16",383,8451
"1",7485,1349
"2",0,8834
"3",7767,1067
"4",3517,5317
"5",2374,6460
"6",5823,3011
"7",8288,546
"8",898,7936
"9",6199,2635
"10",8764,70
"11",1150,7684
"12",3572,5262
"13",4122,4712
"14",4779,4055
"15",0,8834
"16",864,7970
"1",7496,1338
"2",5252,3582
"3",1474,7360
"4",6880,1954
"5",3437,5397
"6",8834,0
"7",8170,664
"8",0,8834
"9",6869,1965
"10",6100,2734
"11",6063,2771
"12",3971,4863
"13",3907,4927
"14",4368,4466
"15",2610,6224
"16",7651,1183
"1",8834,0
"2",463,8371
"3",90,8744
"4",1319,7515
"5",1909,6925
"6",0,8834
"7",5673,3161
"8",2664,6170
"9",5245,3589
"10",2998,5836
"11",0,8834
"12",2636,6198
"13",1203,7631
"14",4564,4270
"15",1872,6962
"16",6087,2747
"1",865,7969
"2",2092,6742
"3",2758,6076
"4",3220,5614
"5",3236,5598
"6",8477,357
"7",154,8680
"8",5550,3284
"9",320,8514
"10",3080,5754
"11",3932,4902
"12",8460,374
"13",3639,5195
"14",4797,4037
"15",2593,6241
"16",1871,6963
"1",828,8006
"2",7707,1127
"3",2240,6594
"4",2338,6496
"5",3875,4959
"6",5438,3396
"7",546,8288
"8",7692,1142
"9",6401,2433
"10",3540,5294
"11",5660,3174
"12",0,8834
"13",1621,7213
"14",6896,1938
"15",433,8401
"16",4461,4373
"1",2249,6585
"2",5294,3540
"3",5810,3024
"4",0,8834
"5",321,8513
"6",4441,4393
"7",5646,3188
"8",5184,3650
"9",8834,0
"10",8834,0
"11",577,8257
"12",7304,1530
"13",4938,3896
"14",875,7959
"15",8834,0
"16",4640,4194
"1",7020,1814
"2",8024,810
"3",5830,3004
"4",6509,2325
"5",7055,1779
"6",0,8834
"7",0,8834
"8",8834,0
"9",1659,7175
"10",1683,7151
"11",2120,6714
"12",2793,6041
"13",0,8834
"14",2148,6686
"15",1821,7013
"16",6367,2467
"1",3800,5034
"2",3269,5565
"3",761,8073
"4",4288,4546
"5",0,8834
"6",4989,3845
"7",1747,7087
"8",3528,5306
"9",1393,7441
"10",1771,7063
"11",3914,4920
"12",1207,7627
"13",1137,7697
"14",9,8825
"15",3645,5189
"16",2191,6643
"1",1123,7711
"2",5381,3453
"3",3775,5059
"4",5661,3173
"5",0,8834
"6",7613,1221
"7",7247,1587
"8",1025,7809
"9",726,8108
"10",2395,6439
"11",6509,2325
"12",8834,0
"13",373,8461
"14",3234,5600
"15",3284,5550
"16",8834,0
"1",1131,7703
"2",406,8428
"3",4547,4287
"4",3851,4983
"5",8352,482
"6",1298,7536
"7",5030,3804
"8",6387,2447
"9",867,7967
"10",4135,4699
"11",8834,0
"12",0,8834
"13",1387,7447
"14",6362,2472
"15",597,8237
"16",7758,1076
"1",2778,6056
"2",5144,3690
"3",6830,2004
"4",3734,5100
"5",6524,2310
"6",7550,1284
"7",7132,1702
"8",2711,6123
"9",7841,993
"10",7817,1017
"11",8725,109
