"","4399988","4425571","4454257","4458775"
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",26815,0,3264,0
"6",0,0,30079,0
"7",0,0,24096,5983
"8",0,0,30079,0
"9",0,0,30079,0
"10",30079,0,0,0
"11",26993,0,3086,0
"12",0,0,30079,0
"13",0,0,30079,0
"14",0,3209,26870,0
"15",0,0,30079,0
"16",7784,0,22295,0
"1",0,0,13272,16807
"2",12271,0,17808,0
"3",12470,0,0,17609
"4",30079,0,0,0
"5",0,26859,3220,0
"6",21031,0,9048,0
"7",0,0,30079,0
"8",0,0,13322,16757
"9",0,0,30079,0
"10",0,0,30079,0
"11",0,0,9672,20407
"12",0,3204,26875,0
"13",22451,0,7628,0
"14",0,0,30079,0
"15",0,0,21394,8685
"16",0,18346,11733,0
"1",0,0,30079,0
"2",16620,0,13459,0
"3",3754,0,26325,0
"4",0,0,30079,0
"5",0,0,30079,0
"6",0,15218,14861,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",30079,0,0,0
"10",0,21486,8593,0
"11",0,18487,11592,0
"12",0,0,30079,0
"13",4606,25473,0,0
"14",0,0,30079,0
"15",15290,0,14789,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,0,30079
"3",0,0,30079,0
"4",26298,0,3781,0
"5",0,25456,4623,0
"6",26796,0,3283,0
"7",28464,0,1615,0
"8",0,0,30079,0
"9",24747,0,5332,0
"10",0,24743,5336,0
"11",0,0,8016,22063
"12",0,0,17949,12130
"13",0,0,30079,0
"14",15228,0,14851,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,7775,22304,0
"5",0,20132,9947,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",1301,0,0,28778
"9",28467,1612,0,0
"10",29150,0,929,0
"11",0,0,30079,0
"12",10415,0,19664,0
"13",0,22091,7988,0
"14",0,5488,24591,0
"15",0,0,30079,0
"16",1775,0,28304,0
"1",0,0,30079,0
"2",8833,0,0,21246
"3",30079,0,0,0
"4",4550,0,25529,0
"5",0,0,30079,0
"6",30079,0,0,0
"7",26738,0,3341,0
"8",0,0,25010,5069
"9",0,0,30079,0
"10",0,0,14861,15218
"11",7496,22583,0,0
"12",0,0,21458,8621
"13",27801,0,2278,0
"14",0,26,30053,0
"15",0,0,30079,0
"16",3486,0,0,26593
"1",4970,0,25109,0
"2",22139,0,0,7940
"3",0,0,30079,0
"4",0,0,30079,0
"5",24110,5969,0,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",8562,0,21517,0
"9",0,0,30079,0
"10",19207,0,10872,0
"11",0,27896,2183,0
"12",0,0,1985,28094
"13",0,18981,11098,0
"14",0,4033,26046,0
"15",0,0,30079,0
"16",0,28523,1556,0
"1",18390,0,11689,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",24729,0,5350,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",0,0,12849,17230
"9",0,0,30079,0
"10",0,14498,15581,0
"11",0,0,30079,0
"12",20035,0,0,10044
"13",0,0,30079,0
"14",16583,0,13496,0
"15",0,3439,26640,0
"16",8208,0,21871,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",0,0,10855,19224
"6",29355,0,724,0
"7",0,4906,0,25173
"8",0,0,30079,0
"9",0,0,30079,0
"10",0,20192,9887,0
"11",19349,0,10730,0
"12",0,0,30079,0
"13",0,0,30079,0
"14",0,0,30079,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,11260,18819
"2",24915,0,5164,0
"3",0,0,30079,0
"4",0,16844,13235,0
"5",8230,0,21849,0
"6",0,0,30079,0
"7",20194,0,9885,0
"8",8286,0,0,21793
"9",0,0,6684,23395
"10",0,0,30079,0
"11",0,0,2142,27937
"12",0,0,30079,0
"13",0,9863,20216,0
"14",0,0,30079,0
"15",0,0,2761,27318
"16",0,16543,13536,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",18237,0,11842,0
"4",14556,0,15523,0
"5",29301,0,778,0
"6",18943,11136,0,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",9696,0,20383,0
"10",8910,0,21169,0
"11",29775,0,304,0
"12",0,0,30079,0
"13",0,30079,0,0
"14",15718,0,14361,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,30079,0,0
"5",0,0,30079,0
"6",0,0,21399,8680
"7",19000,0,11079,0
"8",0,0,30079,0
"9",0,0,18260,11819
"10",0,0,30079,0
"11",0,0,30079,0
"12",4893,0,25186,0
"13",0,0,30079,0
"14",0,16706,13373,0
"15",0,0,30079,0
"16",10974,0,19105,0
"1",19450,0,10629,0
"2",14287,0,15792,0
"3",0,0,30079,0
"4",0,0,12833,17246
"5",0,0,30079,0
"6",30079,0,0,0
"7",0,23830,0,6249
"8",13549,0,16530,0
"9",12855,0,17224,0
"10",0,0,30079,0
"11",6884,0,23195,0
"12",0,0,30079,0
"13",30079,0,0,0
"14",15602,0,14477,0
"15",0,9451,20628,0
"16",0,0,30079,0
"1",24952,0,5127,0
"2",0,0,30079,0
"3",5353,0,24726,0
"4",0,0,30079,0
"5",0,14940,15139,0
"6",19096,0,10983,0
"7",0,0,0,30079
"8",0,0,29043,1036
"9",0,30079,0,0
"10",0,0,30079,0
"11",695,0,29384,0
"12",0,29166,913,0
"13",18203,0,11876,0
"14",0,0,30079,0
"15",2570,0,27509,0
"16",0,0,30079,0
"1",0,8945,21134,0
"2",0,30079,0,0
"3",467,0,0,29612
"4",18612,0,11467,0
"5",15583,0,14496,0
"6",0,9693,20386,0
"7",24859,0,5220,0
"8",0,0,30079,0
"9",0,0,0,30079
"10",0,0,19600,10479
"11",0,0,30079,0
"12",0,0,30079,0
"13",0,0,30079,0
"14",0,0,30079,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",23274,0,6805,0
"4",0,0,30079,0
"5",0,18497,11582,0
"6",0,0,30079,0
"7",0,0,3239,26840
"8",0,0,30079,0
"9",0,0,30079,0
"10",0,0,30079,0
"11",0,0,30079,0
"12",0,0,30079,0
"13",0,18013,12066,0
"14",0,0,30079,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,13177,16902,0
"2",0,0,5719,24360
"3",0,0,30079,0
"4",0,0,30079,0
"5",0,0,30079,0
"6",3353,0,26726,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",9948,0,20131,0
"10",0,0,30079,0
"11",0,0,9544,20535
"12",0,0,30079,0
"13",0,0,30079,0
"14",0,0,30079,0
"15",3971,0,26108,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,6956,23123
"3",0,16031,14048,0
"4",0,4515,0,25564
"5",0,0,30079,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",0,10333,19746,0
"9",3638,0,26441,0
"10",10135,0,19944,0
"11",0,0,27660,2419
"12",9706,0,20373,0
"13",0,0,26659,3420
"14",0,0,30079,0
"15",0,0,30079,0
"16",0,0,6016,24063
"1",0,0,30079,0
"2",0,0,24377,5702
"3",14841,0,15238,0
"4",0,18317,11762,0
"5",0,0,30079,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",0,0,30079,0
"10",0,0,30079,0
"11",0,0,30079,0
"12",0,0,6710,23369
"13",28756,0,1323,0
"14",548,0,29531,0
"15",0,0,30079,0
"16",0,0,8103,21976
"1",0,0,30079,0
"2",13564,0,0,16515
"3",0,0,1117,28962
"4",0,12243,17836,0
"5",0,0,30079,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",0,5364,24715,0
"9",20416,0,9663,0
"10",6182,0,23897,0
"11",0,0,16811,13268
"12",11743,0,18336,0
"13",0,0,1420,28659
"14",0,7737,0,22342
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,1548,28531,0
"5",30079,0,0,0
"6",30079,0,0,0
"7",0,0,30079,0
"8",0,10045,20034,0
"9",15468,14611,0,0
"10",0,0,30079,0
"11",0,0,6366,23713
"12",0,0,10257,19822
"13",0,0,30079,0
"14",0,0,4031,26048
"15",0,0,30079,0
"16",0,22923,7156,0
"1",0,4827,25252,0
"2",0,0,22391,7688
"3",0,0,8486,21593
"4",18817,0,11262,0
"5",2755,0,27324,0
"6",3046,0,27033,0
"7",10771,0,19308,0
"8",0,0,30079,0
"9",0,0,25627,4452
"10",0,14746,15333,0
"11",15299,0,0,14780
"12",0,0,30079,0
"13",0,0,30079,0
"14",0,0,30079,0
"15",0,0,30079,0
"16",30079,0,0,0
"1",0,0,30079,0
"2",0,0,21924,8155
"3",0,0,30079,0
"4",1482,0,28597,0
"5",0,14496,15583,0
"6",1661,0,28418,0
"7",0,0,26591,3488
"8",30079,0,0,0
"9",0,14694,15385,0
"10",0,15059,15020,0
"11",0,0,30079,0
"12",0,0,30079,0
"13",0,28834,1245,0
"14",0,0,30079,0
"15",0,19712,10367,0
"16",0,0,30079,0
"1",0,29436,643,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",25429,0,4650,0
"6",13294,0,16785,0
"7",13721,0,16358,0
"8",2422,0,27657,0
"9",0,0,30079,0
"10",0,0,30079,0
"11",30079,0,0,0
"12",0,0,30079,0
"13",0,0,30079,0
"14",0,0,30079,0
"15",7025,0,0,23054
"16",556,29523,0,0
"1",9221,0,20858,0
"2",15185,0,14894,0
"3",0,16876,13203,0
"4",0,0,30079,0
"5",2146,0,0,27933
"6",0,4706,25373,0
"7",6099,23980,0,0
"8",0,0,27443,2636
"9",0,0,30079,0
"10",0,0,30079,0
"11",30079,0,0,0
"12",0,0,30079,0
"13",0,0,28747,1332
"14",20509,0,9570,0
"15",0,0,0,30079
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,10027,20052,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",8053,0,22026,0
"6",0,11782,18297,0
"7",0,0,0,30079
"8",21700,0,0,8379
"9",0,0,22194,7885
"10",0,0,30079,0
"11",0,0,30079,0
"12",0,0,30079,0
"13",30079,0,0,0
"14",1336,0,0,28743
"15",7872,0,22207,0
"16",23198,0,6881,0
"1",5238,0,24841,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",0,0,30079,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",20798,0,9281,0
"9",18247,0,11832,0
"10",0,0,30079,0
"11",0,30079,0,0
"12",2766,0,27313,0
"13",0,0,30079,0
"14",0,25573,4506,0
"15",0,30079,0,0
"16",0,2374,27705,0
"1",0,0,25031,5048
"2",0,0,30079,0
"3",20672,0,9407,0
"4",0,0,26418,3661
"5",0,0,10364,19715
"6",0,0,30079,0
"7",30079,0,0,0
"8",0,0,30079,0
"9",0,13471,0,16608
"10",0,0,29188,891
"11",0,0,30079,0
"12",0,9786,20293,0
"13",0,5726,0,24353
"14",0,22082,0,7997
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",10839,0,19240,0
"4",0,0,30079,0
"5",0,0,30079,0
"6",0,0,246,29833
"7",0,0,1605,28474
"8",0,30079,0,0
"9",0,0,30079,0
"10",10270,0,0,19809
"11",0,0,30079,0
"12",1254,0,28825,0
"13",25594,0,4485,0
"14",0,0,30079,0
"15",23517,0,6562,0
"16",14587,0,15492,0
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,21800,0,8279
"4",0,0,30079,0
"5",0,0,30079,0
"6",0,0,30079,0
"7",0,0,14962,15117
"8",7133,0,22946,0
"9",0,0,30079,0
"10",0,0,30079,0
"11",0,0,21595,8484
"12",0,12435,17644,0
"13",0,23263,6816,0
"14",0,0,30079,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",14731,0,15348,0
"3",1097,0,28982,0
"4",0,0,0,30079
"5",0,0,30079,0
"6",15616,0,14463,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",0,0,30079,0
"10",0,0,30079,0
"11",0,19611,10468,0
"12",0,0,30079,0
"13",25542,4537,0,0
"14",0,0,30079,0
"15",0,0,30079,0
"16",0,0,27774,2305
"1",8368,0,21711,0
"2",0,0,30079,0
"3",27234,0,2845,0
"4",0,0,30079,0
"5",0,0,0,30079
"6",0,0,30079,0
"7",0,0,30079,0
"8",21123,0,8956,0
"9",0,0,30079,0
"10",30079,0,0,0
"11",0,0,30079,0
"12",0,23329,6750,0
"13",0,0,30079,0
"14",0,0,30079,0
"15",0,0,16825,13254
"16",0,0,3729,26350
"1",0,4399,25680,0
"2",0,1028,0,29051
"3",0,0,30079,0
"4",0,0,30079,0
"5",0,0,30079,0
"6",0,0,30079,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",0,0,30079,0
"10",0,29521,558,0
"11",0,0,30079,0
"12",0,0,30079,0
"13",0,28425,1654,0
"14",0,0,30079,0
"15",12603,17476,0,0
"16",0,0,30079,0
"1",0,0,30079,0
"2",0,6833,23246,0
"3",0,0,30079,0
"4",0,24922,5157,0
"5",0,954,29125,0
"6",0,6791,23288,0
"7",0,30079,0,0
"8",0,0,30079,0
"9",0,0,30079,0
"10",24143,0,5936,0
"11",27469,0,0,2610
"12",0,0,8045,22034
"13",0,0,30079,0
"14",30079,0,0,0
"15",0,0,30079,0
"16",0,0,30079,0
"1",14140,0,0,15939
"2",0,0,19713,10366
"3",0,0,30079,0
"4",0,0,30079,0
"5",15011,0,15068,0
"6",30079,0,0,0
"7",0,0,30079,0
"8",30079,0,0,0
"9",16139,13940,0,0
"10",0,0,4288,25791
"11",1217,28862,0,0
"12",0,0,30079,0
"13",4649,0,25430,0
"14",22123,0,7956,0
"15",0,22210,7869,0
"16",12102,0,0,17977
"1",0,0,30079,0
"2",0,0,30079,0
"3",0,0,30079,0
"4",0,0,30079,0
"5",6133,0,0,23946
"6",0,0,30079,0
"7",0,0,30079,0
"8",0,0,30079,0
"9",30079,0,0,0
"10",10560,19519,0,0
