"","164915","4399988","4425571","4454257","4458775","691423"
"1",0,0,0,27708,0,0
"2",0,0,2528,24288,0,892
"3",0,0,0,27218,0,490
"4",0,0,0,27708,0,0
"5",0,0,0,27708,0,0
"6",0,0,3764,23944,0,0
"7",0,0,686,27009,0,13
"8",0,5238,0,19973,0,2497
"9",0,0,0,27708,0,0
"10",0,0,0,27708,0,0
"11",0,82,0,27626,0,0
"12",0,7741,0,19967,0,0
"13",3139,582,0,23987,0,0
"14",0,853,0,26855,0,0
"15",0,0,7331,20377,0,0
"16",0,6524,0,21184,0,0
"1",0,0,1448,26260,0,0
"2",0,0,1943,25765,0,0
"3",6249,0,0,21459,0,0
"4",0,0,0,27403,0,305
"5",0,7437,0,20271,0,0
"6",0,0,0,27708,0,0
"7",0,0,0,27708,0,0
"8",694,1775,2922,22317,0,0
"9",0,0,0,27708,0,0
"10",443,15604,0,11661,0,0
"11",0,1145,0,26563,0,0
"12",7783,0,3794,16131,0,0
"13",0,0,0,26680,276,752
"14",0,4162,1059,22487,0,0
"15",0,0,6659,21049,0,0
"16",0,0,0,27708,0,0
"1",0,0,0,27708,0,0
"2",0,1350,0,26358,0,0
"3",0,452,0,27256,0,0
"4",8599,2507,0,16602,0,0
"5",0,416,0,27292,0,0
"6",0,0,0,27708,0,0
"7",0,3318,0,24138,0,252
"8",0,1107,5006,21595,0,0
"9",0,0,0,25087,0,2621
"10",0,6904,1254,18645,0,905
"11",0,2743,0,24965,0,0
"12",0,0,3382,24326,0,0
"13",520,0,1660,25528,0,0
"14",0,4345,2036,21327,0,0
"15",4160,5677,84,17787,0,0
"16",0,2613,0,25095,0,0
"1",0,0,4799,22909,0,0
"2",6504,0,6119,15085,0,0
"3",0,1484,0,25396,0,828
"4",0,0,1101,26607,0,0
"5",0,0,0,27708,0,0
"6",1037,0,0,26671,0,0
"7",0,0,5808,21900,0,0
"8",0,3738,0,23970,0,0
"9",0,3092,0,21358,3258,0
"10",0,0,0,24387,0,3321
"11",0,0,0,27708,0,0
"12",8472,0,0,19236,0,0
"13",0,0,0,26058,1650,0
"14",0,202,0,27506,0,0
"15",0,0,360,27348,0,0
"16",0,0,0,27708,0,0
"1",691,0,0,27017,0,0
"2",0,2943,3832,16025,0,4908
"3",0,1301,0,22041,0,4366
"4",0,0,0,27708,0,0
"5",0,0,0,27708,0,0
"6",0,0,0,27708,0,0
"7",0,1561,0,26147,0,0
"8",0,0,3249,24459,0,0
"9",1877,0,2108,23723,0,0
"10",0,8361,0,17052,0,2295
"11",0,0,0,27708,0,0
"12",0,1664,0,26044,0,0
"13",0,1287,0,26421,0,0
"14",0,2761,0,24947,0,0
"15",0,0,0,27708,0,0
