"","4349788","4370747","4456889","4128270"
"1",0,1524,0,0
"2",1524,0,0,0
"3",0,0,1524,0
"4",0,0,1524,0
"5",0,1524,0,0
"6",0,1524,0,0
"7",0,1524,0,0
"8",0,1524,0,0
"9",0,1524,0,0
"10",0,1524,0,0
"11",1524,0,0,0
"12",1524,0,0,0
"13",0,1524,0,0
"14",0,1524,0,0
"15",0,0,1524,0
"16",0,0,1524,0
"17",0,0,1524,0
"18",1524,0,0,0
"19",1524,0,0,0
"20",0,0,1524,0
"21",0,0,1524,0
"22",1524,0,0,0
"23",0,0,1524,0
"24",0,1524,0,0
"25",1524,0,0,0
"26",0,0,1524,0
"27",0,0,1524,0
"28",0,0,1524,0
"29",0,1524,0,0
"30",1524,0,0,0
"31",0,0,1524,0
"32",0,0,1524,0
"33",0,1524,0,0
"34",0,0,1524,0
"35",1524,0,0,0
"36",0,1524,0,0
"37",1524,0,0,0
"38",0,0,1524,0
"39",0,1524,0,0
"40",0,1524,0,0
"41",0,1524,0,0
"42",0,1524,0,0
"43",0,0,1524,0
"44",0,1524,0,0
"45",1524,0,0,0
"46",0,0,1524,0
"47",0,0,1524,0
"48",1524,0,0,0
"49",0,0,1524,0
"50",0,1524,0,0
"51",1524,0,0,0
"52",0,1524,0,0
"53",0,0,1524,0
"54",1524,0,0,0
"55",1524,0,0,0
"56",0,1524,0,0
"57",0,0,1524,0
"58",1524,0,0,0
"59",1524,0,0,0
"60",0,1524,0,0
"61",0,1524,0,0
"62",0,0,1524,0
"63",0,1524,0,0
"64",1524,0,0,0
"65",1524,0,0,0
"66",0,1524,0,0
"67",1524,0,0,0
"68",0,1524,0,0
"69",0,0,1524,0
"70",1524,0,0,0
"71",1524,0,0,0
"72",0,1524,0,0
"73",0,0,1524,0
"74",0,1524,0,0
"75",0,0,1524,0
"76",1524,0,0,0
"77",0,1524,0,0
"78",0,0,1524,0
"79",0,1524,0,0
"80",0,0,1524,0
"81",1524,0,0,0
"82",1524,0,0,0
"83",1524,0,0,0
"84",1524,0,0,0
"85",0,1524,0,0
"86",0,1524,0,0
"87",1524,0,0,0
"88",0,0,1524,0
"89",0,0,1524,0
"90",1524,0,0,0
"91",0,1524,0,0
"92",1524,0,0,0
"93",0,1524,0,0
"94",1524,0,0,0
"95",0,1524,0,0
"96",1524,0,0,0
"97",1524,0,0,0
"98",1524,0,0,0
"99",0,1524,0,0
"100",0,0,1524,0
"101",0,0,1524,0
"102",0,1524,0,0
"103",0,1524,0,0
"104",0,0,1524,0
"105",0,1524,0,0
"106",0,0,1524,0
"107",0,1524,0,0
"108",0,1524,0,0
"109",0,0,1524,0
"110",0,1524,0,0
"111",0,1524,0,0
"112",0,1524,0,0
"113",0,1524,0,0
"114",0,1524,0,0
"115",0,0,1524,0
"116",0,1524,0,0
"117",0,1524,0,0
"118",0,1524,0,0
"119",0,0,1524,0
"120",0,1524,0,0
"121",0,1524,0,0
"122",0,1524,0,0
"123",0,0,1524,0
"124",0,1524,0,0
"125",0,0,1524,0
"126",0,0,1524,0
"127",0,1524,0,0
"128",0,1524,0,0
"129",0,1524,0,0
"130",0,1524,0,0
"131",0,1524,0,0
"132",0,0,1524,0
"133",0,0,1524,0
"134",0,0,1524,0
"135",0,0,1524,0
"136",0,1524,0,0
"137",0,1524,0,0
"138",0,0,1524,0
"139",0,1524,0,0
"140",0,0,1524,0
"141",0,1524,0,0
"142",0,0,1524,0
"143",0,0,1524,0
"144",0,0,1524,0
"145",0,0,1524,0
"146",0,1524,0,0
"147",0,1524,0,0
"148",0,1524,0,0
"149",0,0,1524,0
"150",0,1524,0,0
"151",0,1524,0,0
"152",0,1524,0,0
"153",0,1524,0,0
"154",0,1524,0,0
"155",0,0,1524,0
"156",0,1524,0,0
"157",0,1524,0,0
"158",0,0,1524,0
"159",0,0,1524,0
"160",0,0,1524,0
"161",0,1524,0,0
"162",0,1524,0,0
"163",0,1524,0,0
"164",0,1524,0,0
"165",0,1524,0,0
"166",0,1524,0,0
"167",0,0,1524,0
"168",0,0,1524,0
"169",0,1524,0,0
"170",0,0,1524,0
"171",0,1524,0,0
"172",0,1524,0,0
"173",0,1524,0,0
"174",0,0,1524,0
"175",0,0,1524,0
"176",0,1524,0,0
"177",0,1524,0,0
"178",0,0,1524,0
"179",0,1524,0,0
"180",0,0,1524,0
"181",0,1524,0,0
"182",0,1524,0,0
"183",0,0,1524,0
"184",0,0,1524,0
"185",0,1524,0,0
"186",0,1524,0,0
"187",0,1524,0,0
"188",0,1524,0,0
"189",0,1524,0,0
"190",0,1524,0,0
"191",0,0,1524,0
"192",0,1524,0,0
"193",0,1524,0,0
"194",0,0,1524,0
"195",0,1524,0,0
"196",0,1524,0,0
"197",0,0,1524,0
"198",0,1524,0,0
"199",0,1524,0,0
"200",0,0,1524,0
"201",1519,0,0,0
"202",0,1519,0,0
"203",0,0,1519,0
"204",0,0,0,1519
"205",1519,0,0,0
"206",0,0,0,1519
"207",1519,0,0,0
"208",1519,0,0,0
"209",0,1519,0,0
"210",1519,0,0,0
"211",0,0,1519,0
"212",1519,0,0,0
"213",0,0,1519,0
"214",0,0,1519,0
"215",0,0,0,1519
"216",1519,0,0,0
"217",0,0,0,1519
"218",1519,0,0,0
"219",0,0,1519,0
"220",0,1519,0,0
"221",0,1519,0,0
"222",0,0,0,1519
"223",1519,0,0,0
"224",1519,0,0,0
"225",1519,0,0,0
"226",0,0,1519,0
"227",0,0,1519,0
"228",0,0,0,1519
"229",0,0,0,1519
"230",1519,0,0,0
"231",0,0,0,1519
"232",0,1519,0,0
"233",0,0,0,1519
"234",0,1519,0,0
"235",0,0,1519,0
"236",0,0,1519,0
"237",0,0,1519,0
"238",0,0,0,1519
"239",0,0,1519,0
"240",0,1519,0,0
"241",0,0,1519,0
"242",0,0,0,1519
"243",0,1519,0,0
"244",0,0,0,1519
"245",0,0,1519,0
"246",0,0,0,1519
"247",0,1519,0,0
"248",0,1519,0,0
"249",0,0,0,1519
"250",0,0,1519,0
"251",1519,0,0,0
"252",1519,0,0,0
"253",0,0,1519,0
"254",0,0,0,1519
"255",1519,0,0,0
"256",0,0,1519,0
"257",0,0,1519,0
"258",0,0,0,1519
"259",0,0,1519,0
"260",0,0,1519,0
"261",0,1519,0,0
"262",1519,0,0,0
"263",0,0,1519,0
"264",1519,0,0,0
"265",0,0,1519,0
"266",1519,0,0,0
"267",1519,0,0,0
"268",0,0,0,1519
"269",0,0,0,1519
"270",0,1519,0,0
"271",0,1519,0,0
"272",0,1519,0,0
"273",0,1519,0,0
"274",0,0,1519,0
"275",0,1519,0,0
"276",1519,0,0,0
"277",0,0,1519,0
"278",1519,0,0,0
"279",0,0,0,1519
"280",0,1519,0,0
"281",0,1519,0,0
"282",0,1519,0,0
"283",0,0,1519,0
"284",0,0,1519,0
"285",0,0,0,1519
"286",1519,0,0,0
"287",0,0,0,1519
"288",0,1519,0,0
"289",0,0,0,1519
"290",0,1519,0,0
"291",0,0,0,1519
"292",1519,0,0,0
"293",0,0,0,1519
"294",0,0,0,1519
"295",1519,0,0,0
"296",0,1519,0,0
"297",0,0,0,1519
"298",0,0,0,1519
"299",1519,0,0,0
"300",0,0,1519,0
"301",0,0,1524,0
"302",0,0,1524,0
"303",0,0,1524,0
