SA,SRR,TIME,ORIG,REP
sa1,SRR7133835_1.fastq.gz,final,X12,7.0
sa10,SRR7133912_1.fastq.gz,final,X1,4.0
sa100,SRR7134401_1.fastq.gz,original,X8,0
sa101,SRR7134402_1.fastq.gz,final,X9,7.0
sa102,SRR7134403_1.fastq.gz,final,X10,7.0
sa103,SRR7134404_1.fastq.gz,final,X11,7.0
sa11,SRR7133913_1.fastq.gz,final,X2,4.0
sa12,SRR7133914_1.fastq.gz,final,X3,4.0
sa13,SRR7133915_1.fastq.gz,final,X4,4.0
sa14,SRR7133916_1.fastq.gz,final,X5,4.0
sa15,SRR7133917_1.fastq.gz,final,X6,4.0
sa16,SRR7133918_1.fastq.gz,final,X7,4.0
sa17,SRR7133919_1.fastq.gz,final,X8,4.0
sa18,SRR7133937_1.fastq.gz,original,X5,0
sa19,SRR7133968_1.fastq.gz,original,X1,0
sa2,SRR7133836_1.fastq.gz,final,X5,7.0
sa20,SRR7134000_1.fastq.gz,final,X6,8.0
sa21,SRR7134001_1.fastq.gz,final,X5,8.0
sa22,SRR7134002_1.fastq.gz,final,X4,8.0
sa23,SRR7134003_1.fastq.gz,final,X3,8.0
sa24,SRR7134006_1.fastq.gz,final,X8,8.0
sa25,SRR7134007_1.fastq.gz,final,X7,8.0
sa26,SRR7134016_1.fastq.gz,original,X7,0
sa27,SRR7134075_1.fastq.gz,final,X6,5.0
sa28,SRR7134076_1.fastq.gz,final,X5,5.0
sa29,SRR7134077_1.fastq.gz,final,X4,5.0
sa3,SRR7133837_1.fastq.gz,final,X6,7.0
sa30,SRR7134078_1.fastq.gz,final,X3,5.0
sa31,SRR7134079_1.fastq.gz,final,X2,5.0
sa32,SRR7134080_1.fastq.gz,final,X1,5.0
sa33,SRR7134081_1.fastq.gz,final,X12,4.0
sa34,SRR7134082_1.fastq.gz,final,X11,4.0
sa35,SRR7134083_1.fastq.gz,final,X8,5.0
sa36,SRR7134084_1.fastq.gz,final,X7,5.0
sa37,SRR7134106_1.fastq.gz,original,X10,0
sa38,SRR7134107_1.fastq.gz,original,X4,0
sa39,SRR7134117_1.fastq.gz,original,X9,0
sa4,SRR7133838_1.fastq.gz,final,X7,7.0
sa40,SRR7134120_1.fastq.gz,original,X3,0
sa41,SRR7134163_1.fastq.gz,final,X5,6.0
sa42,SRR7134164_1.fastq.gz,final,X6,6.0
sa43,SRR7134165_1.fastq.gz,final,X3,6.0
